,% Played 9-12,0.00%,20.45%,19.48%,17.29%,18.69%,19.94%,17.41%,21.33%,20.00%,20.15%,20.00%,13.43%,21.05%,10.00%,10.00%,0.00%,0.00%,0.00%,,,,
,% Played 13+,33.33%,53.41%,38.20%,38.60%,35.68%,37.12%,41.64%,48.89%,50.29%,47.01%,44.44%,52.24%,44.74%,55.00%,50.00%,50.00%,25.00%,100.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2012,Weight,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,
,1-4 Games Played,0,6,48,59,79,56,42,22,12,15,15,11,3,2,2,0,1,0,,,,
,5-8 Games Played,0,11,36,55,50,38,44,31,22,16,3,3,5,1,0,1,1,0,,,,
,9-12 Games Played,0,12,33,45,46,40,32,25,20,16,11,7,3,0,0,0,0,0,,,,
,13+ Games Played,1,31,68,85,81,72,66,58,42,27,21,13,6,5,3,2,1,1,,,,
,# of Players,1,60,185,244,256,206,184,136,96,74,50,34,17,8,5,3,3,1,,,,
,% Played 1-4,0.00%,10.00%,25.95%,24.18%,30.86%,27.18%,22.83%,16.18%,12.50%,20.27%,30.00%,32.35%,17.65%,25.00%,40.00%,0.00%,33.33%,0.00%,,,,
,% Played 5-8,0.00%,18.33%,19.46%,22.54%,19.53%,18.45%,23.91%,22.79%,22.92%,21.62%,6.00%,8.82%,29.41%,12.50%,0.00%,33.33%,33.33%,0.00%,,,,
,% Played 9-12,0.00%,20.00%,17.84%,18.44%,17.97%,19.42%,17.39%,18.38%,20.83%,21.62%,22.00%,20.59%,17.65%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
,% Played 13+,100.00%,51.67%,36.76%,34.84%,31.64%,34.95%,35.87%,42.65%,43.75%,36.49%,42.00%,38.24%,35.29%,62.50%,60.00%,66.67%,33.33%,100.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
